estimate,value,method,samples,i
ψ,-0.8653244335888858,ols,100,7
σ2,0.42302493219708026,ols,100,7
σ2net,0.42302493219708026,ols,100,7
ψ,11.364380388259887,plugin,100,8
σ2boot,NaN,plugin,100,8
ψ,11.114626187223086,ipw,100,8
σ2,0.0051601139409804585,ipw,100,8
σ2net,0.02033670983070713,ipw,100,8
σ2boot,NaN,ipw,100,8
stabilized,false,ipw,100,8
ψ,11.114626237064112,sipw,100,8
σ2,0.005160076334842446,sipw,100,8
σ2net,0.020336513254625908,sipw,100,8
σ2boot,NaN,sipw,100,8
stabilized,true,sipw,100,8
ψ,11.364381059080145,onestep,100,8
σ2,0.006736265540703776,onestep,100,8
σ2net,0.028210911100198653,onestep,100,8
σ2boot,NaN,onestep,100,8
ψ,11.36400295155596,tmle,100,8
σ2,0.006736266970499949,tmle,100,8
σ2net,0.02821286631840844,tmle,100,8
σ2boot,NaN,tmle,100,8
ψ,11.141125700119924,plugin_iid,100,8
σ2boot,NaN,plugin_iid,100,8
ψ,11.114626179553674,ipw_iid,100,8
σ2,0.005160110179469494,ipw_iid,100,8
σ2net,0.005160110179469495,ipw_iid,100,8
σ2boot,NaN,ipw_iid,100,8
stabilized,false,ipw_iid,100,8
ψ,11.114626215825648,sipw_iid,100,8
σ2,0.005160077229378367,sipw_iid,100,8
σ2net,0.005160077229378366,sipw_iid,100,8
σ2boot,NaN,sipw_iid,100,8
stabilized,true,sipw_iid,100,8
ψ,11.141125754307819,onestep_iid,100,8
σ2,0.00516007337457579,onestep_iid,100,8
σ2net,0.005160073374575789,onestep_iid,100,8
σ2boot,NaN,onestep_iid,100,8
ψ,11.141125751798125,tmle_iid,100,8
σ2,0.005160073399078749,tmle_iid,100,8
σ2net,0.005160073399078749,tmle_iid,100,8
σ2boot,NaN,tmle_iid,100,8
ψ,-0.4439661957593423,ols,100,8
σ2,0.47958300796247827,ols,100,8
σ2net,0.47958300796247827,ols,100,8
ψ,11.62194619178772,plugin,100,9
σ2boot,NaN,plugin,100,9
ψ,11.395296198158096,ipw,100,9
σ2,0.009520629410804973,ipw,100,9
σ2net,0.04135602004680787,ipw,100,9
σ2boot,NaN,ipw,100,9
stabilized,false,ipw,100,9
ψ,11.395296165836914,sipw,100,9
σ2,0.009520530558695221,sipw,100,9
σ2net,0.0413555253629782,sipw,100,9
σ2boot,NaN,sipw,100,9
stabilized,true,sipw,100,9
ψ,11.621947676168176,onestep,100,9
σ2,0.010233979493246339,onestep,100,9
σ2net,0.04784410481576737,onestep,100,9
σ2boot,NaN,onestep,100,9
ψ,11.621717761198274,tmle,100,9
σ2,0.01023398002294386,tmle,100,9
σ2net,0.04785605904433558,tmle,100,9
σ2boot,NaN,tmle,100,9
ψ,11.417898860044653,plugin_iid,100,9
σ2boot,NaN,plugin_iid,100,9
ψ,11.395295776751809,ipw_iid,100,9
σ2,0.009520526319027773,ipw_iid,100,9
σ2net,0.009520526319027773,ipw_iid,100,9
σ2boot,NaN,ipw_iid,100,9
stabilized,false,ipw_iid,100,9
ψ,11.395295931312694,sipw_iid,100,9
σ2,0.009520526760680777,sipw_iid,100,9
σ2net,0.009520526760680777,sipw_iid,100,9
σ2boot,NaN,sipw_iid,100,9
stabilized,true,sipw_iid,100,9
ψ,11.417898784931998,onestep_iid,100,9
σ2,0.00952052648426242,onestep_iid,100,9
σ2net,0.00952052648426242,onestep_iid,100,9
σ2boot,NaN,onestep_iid,100,9
ψ,11.41789888708754,tmle_iid,100,9
σ2,0.009520527529845902,tmle_iid,100,9
σ2net,0.009520527529845908,tmle_iid,100,9
σ2boot,NaN,tmle_iid,100,9
ψ,-1.3319418634970164,ols,100,9
σ2,0.3269209206970143,ols,100,9
σ2net,0.3269209206970143,ols,100,9
ψ,10.923277311325073,plugin,100,10
σ2boot,NaN,plugin,100,10
ψ,10.77418429496231,ipw,100,10
σ2,0.004606171492603106,ipw,100,10
σ2net,0.016165666640603038,ipw,100,10
σ2boot,NaN,ipw,100,10
stabilized,false,ipw,100,10
ψ,10.77418431635852,sipw,100,10
σ2,0.004606147819766152,sipw,100,10
σ2net,0.016165548097779314,sipw,100,10
σ2boot,NaN,sipw,100,10
stabilized,true,sipw,100,10
ψ,10.92327798818378,onestep,100,10
σ2,0.005014682166035231,onestep,100,10
σ2net,0.018466331834507712,onestep,100,10
σ2boot,NaN,onestep,100,10
ψ,10.923130509212667,tmle,100,10
σ2,0.005014682383616449,tmle,100,10
σ2net,0.018464585570726614,tmle,100,10
σ2boot,NaN,tmle,100,10
ψ,10.801091168362273,plugin_iid,100,10
σ2boot,NaN,plugin_iid,100,10
ψ,10.774184363312168,ipw_iid,100,10
σ2,0.004606187189877664,ipw_iid,100,10
σ2net,0.004606187189877665,ipw_iid,100,10
σ2boot,NaN,ipw_iid,100,10
stabilized,false,ipw_iid,100,10
ψ,10.774184178467497,sipw_iid,100,10
σ2,0.004606145446996714,sipw_iid,100,10
σ2net,0.004606145446996716,sipw_iid,100,10
σ2boot,NaN,sipw_iid,100,10
stabilized,true,sipw_iid,100,10
ψ,10.801091181016497,onestep_iid,100,10
σ2,0.00460614675614,onestep_iid,100,10
σ2net,0.004606146756139998,onestep_iid,100,10
σ2boot,NaN,onestep_iid,100,10
ψ,10.801091266191204,tmle_iid,100,10
σ2,0.004606147169407367,tmle_iid,100,10
σ2net,0.004606147169407366,tmle_iid,100,10
σ2boot,NaN,tmle_iid,100,10
ψ,-0.27065615750250765,ols,100,10
σ2,0.2560415874330122,ols,100,10
σ2net,0.2560415874330122,ols,100,10
ψ,11.257126798629761,plugin,100,11
σ2boot,NaN,plugin,100,11
ψ,11.058534903453207,ipw,100,11
σ2,0.00818312541767686,ipw,100,11
σ2net,0.03630717709385308,ipw,100,11
σ2boot,NaN,ipw,100,11
stabilized,false,ipw,100,11
ψ,11.05853490953155,sipw,100,11
σ2,0.008183076056736077,sipw,100,11
σ2net,0.036306952079407526,sipw,100,11
σ2boot,NaN,sipw,100,11
stabilized,true,sipw,100,11
ψ,11.257127969371496,onestep,100,11
σ2,0.009790837984440897,onestep,100,11
σ2net,0.05012582945982109,onestep,100,11
σ2boot,NaN,onestep,100,11
ψ,11.257066474968076,tmle,100,11
σ2,0.00979083802135561,tmle,100,11
σ2net,0.05012893748084354,tmle,100,11
σ2boot,NaN,tmle,100,11
ψ,11.07153807391393,plugin_iid,100,11
σ2boot,NaN,plugin_iid,100,11
ψ,11.058534698370789,ipw_iid,100,11
σ2,0.008183076536519314,ipw_iid,100,11
σ2net,0.008183076536519313,ipw_iid,100,11
σ2boot,NaN,ipw_iid,100,11
stabilized,false,ipw_iid,100,11
ψ,11.0585347436388,sipw_iid,100,11
σ2,0.008183070379464669,sipw_iid,100,11
σ2net,0.00818307037946467,sipw_iid,100,11
σ2boot,NaN,sipw_iid,100,11
stabilized,true,sipw_iid,100,11
ψ,11.071538169995288,onestep_iid,100,11
σ2,0.008183069580476883,onestep_iid,100,11
σ2net,0.008183069580476885,onestep_iid,100,11
σ2boot,NaN,onestep_iid,100,11
ψ,11.071538171617014,tmle_iid,100,11
σ2,0.008183072364039139,tmle_iid,100,11
σ2net,0.008183072364039135,tmle_iid,100,11
σ2boot,NaN,tmle_iid,100,11
ψ,-0.8320028287715481,ols,100,11
σ2,0.46469434105568447,ols,100,11
σ2net,0.46469434105568447,ols,100,11
ψ,11.131320271045219,plugin,100,12
σ2boot,NaN,plugin,100,12
ψ,10.944904345738399,ipw,100,12
σ2,0.0036613238743979457,ipw,100,12
σ2net,0.013706436334650908,ipw,100,12
σ2boot,NaN,ipw,100,12
stabilized,false,ipw,100,12
ψ,10.94490437062658,sipw,100,12
σ2,0.0036613188431080376,sipw,100,12
σ2net,0.013706384448975052,sipw,100,12
σ2boot,NaN,sipw,100,12
stabilized,true,sipw,100,12
ψ,11.131320265847341,onestep,100,12
σ2,0.004781106867958198,onestep,100,12
σ2net,0.016101336698166928,onestep,100,12
σ2boot,NaN,onestep,100,12
ψ,11.131320280254668,tmle,100,12
σ2,0.004781106863456579,tmle,100,12
σ2net,0.016101336339177375,tmle,100,12
σ2boot,NaN,tmle,100,12
ψ,10.963896485900065,plugin_iid,100,12
σ2boot,NaN,plugin_iid,100,12
ψ,10.944904302368132,ipw_iid,100,12
σ2,0.003661313147212725,ipw_iid,100,12
σ2net,0.003661313147212725,ipw_iid,100,12
σ2boot,NaN,ipw_iid,100,12
stabilized,false,ipw_iid,100,12
ψ,10.944904322939708,sipw_iid,100,12
σ2,0.003661317999373472,sipw_iid,100,12
σ2net,0.003661317999373471,sipw_iid,100,12
σ2boot,NaN,sipw_iid,100,12
stabilized,true,sipw_iid,100,12
ψ,10.96389646014475,onestep_iid,100,12
σ2,0.0036613189455491093,onestep_iid,100,12
σ2net,0.003661318945549111,onestep_iid,100,12
σ2boot,NaN,onestep_iid,100,12
ψ,10.963896479435107,tmle_iid,100,12
σ2,0.003661317942698104,tmle_iid,100,12
σ2net,0.0036613179426981048,tmle_iid,100,12
σ2boot,NaN,tmle_iid,100,12
ψ,-0.2787595896610584,ols,100,12
σ2,0.25640909859844113,ols,100,12
σ2net,0.25640909859844113,ols,100,12
ψ,11.381789655685425,plugin,100,13
σ2boot,NaN,plugin,100,13
ψ,11.182125770823239,ipw,100,13
σ2,0.007428009561455573,ipw,100,13
σ2net,0.030165272935271038,ipw,100,13
σ2boot,NaN,ipw,100,13
stabilized,false,ipw,100,13
ψ,11.18212585448907,sipw,100,13
σ2,0.007427989503186741,sipw,100,13
σ2net,0.030165058592242514,sipw,100,13
σ2boot,NaN,sipw,100,13
stabilized,true,sipw,100,13
ψ,11.381790406074481,onestep,100,13
σ2,0.007818485879385235,onestep,100,13
σ2net,0.03228732501296072,onestep,100,13
σ2boot,NaN,onestep,100,13
ψ,11.381598740574992,tmle,100,13
σ2,0.00781848624610108,tmle,100,13
σ2net,0.03228746824062533,tmle,100,13
σ2boot,NaN,tmle,100,13
ψ,11.215052509307862,plugin_iid,100,13
σ2boot,NaN,plugin_iid,100,13
ψ,11.182125728269826,ipw_iid,100,13
σ2,0.007428001950353355,ipw_iid,100,13
σ2net,0.007428001950353357,ipw_iid,100,13
σ2boot,NaN,ipw_iid,100,13
stabilized,false,ipw_iid,100,13
ψ,11.18212573820649,sipw_iid,100,13
σ2,0.007427991878288255,sipw_iid,100,13
σ2net,0.007427991878288255,sipw_iid,100,13
σ2boot,NaN,sipw_iid,100,13
stabilized,true,sipw_iid,100,13
ψ,11.21505352666486,onestep_iid,100,13
σ2,0.006894199502147935,onestep_iid,100,13
σ2net,0.006894199502147935,onestep_iid,100,13
σ2boot,NaN,onestep_iid,100,13
ψ,11.215053233627351,tmle_iid,100,13
σ2,0.006894199500402375,tmle_iid,100,13
σ2net,0.006894199500402375,tmle_iid,100,13
σ2boot,NaN,tmle_iid,100,13
ψ,0.7169003328488595,ols,100,13
σ2,0.46297923959684717,ols,100,13
σ2net,0.46297923959684717,ols,100,13
ψ,11.375389547348023,plugin,100,14
σ2boot,NaN,plugin,100,14
ψ,11.192247844103731,ipw,100,14
σ2,0.007450578046630392,ipw,100,14
σ2net,0.03251839821285648,ipw,100,14
σ2boot,NaN,ipw,100,14
stabilized,false,ipw,100,14
ψ,11.192247822414984,sipw,100,14
σ2,0.0074505460458770285,sipw,100,14
σ2net,0.03251843692030843,sipw,100,14
σ2boot,NaN,sipw,100,14
stabilized,true,sipw,100,14
ψ,11.375390985835125,onestep,100,14
σ2,0.0073555516553967136,onestep,100,14
σ2net,0.03324256385442956,onestep,100,14
σ2boot,NaN,onestep,100,14
ψ,11.375279041930247,tmle,100,14
σ2,0.007355551780655806,tmle,100,14
σ2net,0.03324372310897025,tmle,100,14
σ2boot,NaN,tmle,100,14
ψ,11.145565023292372,plugin_iid,100,14
σ2boot,NaN,plugin_iid,100,14
ψ,11.192247873968526,ipw_iid,100,14
σ2,0.0074505810686936215,ipw_iid,100,14
σ2net,0.007450581068693617,ipw_iid,100,14
σ2boot,NaN,ipw_iid,100,14
stabilized,false,ipw_iid,100,14
ψ,11.19224768475277,sipw_iid,100,14
σ2,0.007450540739045567,sipw_iid,100,14
σ2net,0.007450540739045567,sipw_iid,100,14
σ2boot,NaN,sipw_iid,100,14
stabilized,true,sipw_iid,100,14
ψ,11.192220036199771,onestep_iid,100,14
σ2,0.007450308234020895,onestep_iid,100,14
σ2net,0.007450308234020893,onestep_iid,100,14
σ2boot,NaN,onestep_iid,100,14
ψ,11.192193550788902,tmle_iid,100,14
σ2,0.007450306626687764,tmle_iid,100,14
σ2net,0.007450306626687763,tmle_iid,100,14
σ2boot,NaN,tmle_iid,100,14
ψ,-0.5369986548663472,ols,100,14
σ2,0.5269800752926188,ols,100,14
σ2net,0.5269800752926188,ols,100,14
ψ,11.381850099563598,plugin,100,15
σ2boot,NaN,plugin,100,15
ψ,11.162939187926774,ipw,100,15
σ2,0.007495065630775102,ipw,100,15
σ2net,0.03290389213634517,ipw,100,15
σ2boot,NaN,ipw,100,15
stabilized,false,ipw,100,15
ψ,11.162939149815998,sipw,100,15
σ2,0.007494981342773802,sipw,100,15
σ2net,0.03290346368901685,sipw,100,15
σ2boot,NaN,sipw,100,15
stabilized,true,sipw,100,15
ψ,11.381850796023897,onestep,100,15
σ2,0.008052772575787084,onestep,100,15
σ2net,0.035466744650493834,onestep,100,15
σ2boot,NaN,onestep,100,15
ψ,11.381850301185352,tmle,100,15
σ2,0.008052772574726929,tmle,100,15
σ2net,0.0354667357383894,tmle,100,15
σ2boot,NaN,tmle,100,15
ψ,11.184599387312701,plugin_iid,100,15
σ2boot,NaN,plugin_iid,100,15
ψ,11.162938924433,ipw_iid,100,15
σ2,0.007495004562386893,ipw_iid,100,15
σ2net,0.007495004562386892,ipw_iid,100,15
σ2boot,NaN,ipw_iid,100,15
stabilized,false,ipw_iid,100,15
ψ,11.162939072842361,sipw_iid,100,15
σ2,0.007494980285405684,sipw_iid,100,15
σ2net,0.007494980285405685,sipw_iid,100,15
σ2boot,NaN,sipw_iid,100,15
stabilized,true,sipw_iid,100,15
ψ,11.184599384779508,onestep_iid,100,15
σ2,0.00749498026303501,onestep_iid,100,15
σ2net,0.0074949802630350105,onestep_iid,100,15
σ2boot,NaN,onestep_iid,100,15
ψ,11.184599466996431,tmle_iid,100,15
σ2,0.0074949780148514675,tmle_iid,100,15
σ2net,0.007494978014851469,tmle_iid,100,15
σ2boot,NaN,tmle_iid,100,15
ψ,-0.4580885556678824,ols,100,15
σ2,0.3594675342756447,ols,100,15
σ2net,0.3594675342756447,ols,100,15
ψ,11.35387988090515,plugin,100,16
σ2boot,NaN,plugin,100,16
ψ,11.170829055621569,ipw,100,16
σ2,0.0077297540490375,ipw,100,16
σ2net,0.039612193504776266,ipw,100,16
σ2boot,NaN,ipw,100,16
stabilized,false,ipw,100,16
ψ,11.170829103328417,sipw,100,16
σ2,0.007729702083734691,sipw,100,16
σ2net,0.039611984436692546,sipw,100,16
σ2boot,NaN,sipw,100,16
stabilized,true,sipw,100,16
ψ,11.35387859249057,onestep,100,16
σ2,0.008139636068067438,onestep,100,16
σ2net,0.03974979980206194,onestep,100,16
σ2boot,NaN,onestep,100,16
ψ,11.353660728152144,tmle,100,16
σ2,0.008139636542072502,tmle,100,16
σ2net,0.039755391260413574,tmle,100,16
