estimate,value,method,samples,i
σ2net,0.0014574865145808124,ipw_iid,100,2
σ2boot,NaN,ipw_iid,100,2
stabilized,false,ipw_iid,100,2
ψ,0.8497817071486402,sipw_iid,100,2
σ2,0.001457486344835404,sipw_iid,100,2
σ2net,0.0014574863448354042,sipw_iid,100,2
σ2boot,NaN,sipw_iid,100,2
stabilized,true,sipw_iid,100,2
ψ,0.8525950601751268,onestep_iid,100,2
σ2,0.0014574857129922996,onestep_iid,100,2
σ2net,0.0014574857129922999,onestep_iid,100,2
σ2boot,NaN,onestep_iid,100,2
ψ,0.8525950433588549,tmle_iid,100,2
σ2,0.0014574859547715196,tmle_iid,100,2
σ2net,0.0014574859547715202,tmle_iid,100,2
σ2boot,NaN,tmle_iid,100,2
ψ,0.07333906777803795,ols,100,2
σ2,0.01556062202080845,ols,100,2
σ2net,0.01556062202080845,ols,100,2
ψ,1.0197711237949163,plugin,100,3
σ2boot,NaN,plugin,100,3
ψ,0.9310334483314244,ipw,100,3
σ2,0.0021852660860684887,ipw,100,3
σ2net,0.003131717522774642,ipw,100,3
σ2boot,NaN,ipw,100,3
stabilized,false,ipw,100,3
ψ,0.931033260440945,sipw,100,3
σ2,0.0021852586119359293,sipw,100,3
σ2net,0.0031317100070284644,sipw,100,3
σ2boot,NaN,sipw,100,3
stabilized,true,sipw,100,3
ψ,1.0197711322833138,onestep,100,3
σ2,0.002157264720352532,onestep,100,3
σ2net,0.0031717679068962953,onestep,100,3
σ2boot,NaN,onestep,100,3
ψ,1.0192358054490611,tmle,100,3
σ2,0.0021572685782580182,tmle,100,3
σ2net,0.0031721836034068643,tmle,100,3
σ2boot,NaN,tmle,100,3
ψ,0.9413791537510385,plugin_iid,100,3
σ2boot,NaN,plugin_iid,100,3
ψ,0.931033271713323,ipw_iid,100,3
σ2,0.0021852581523306124,ipw_iid,100,3
σ2net,0.0021852581523306137,ipw_iid,100,3
σ2boot,NaN,ipw_iid,100,3
stabilized,false,ipw_iid,100,3
ψ,0.931033276905551,sipw_iid,100,3
σ2,0.0021852590792717994,sipw_iid,100,3
σ2net,0.002185259079271799,sipw_iid,100,3
σ2boot,NaN,sipw_iid,100,3
stabilized,true,sipw_iid,100,3
ψ,0.9413791810345405,onestep_iid,100,3
σ2,0.002185257785589246,onestep_iid,100,3
σ2net,0.002185257785589245,onestep_iid,100,3
σ2boot,NaN,onestep_iid,100,3
ψ,0.9413791491664947,tmle_iid,100,3
σ2,0.002185258250638717,tmle_iid,100,3
σ2net,0.0021852582506387175,tmle_iid,100,3
σ2boot,NaN,tmle_iid,100,3
ψ,0.2711229738809633,ols,100,3
σ2,0.024533134003685272,ols,100,3
σ2net,0.024533134003685272,ols,100,3
ψ,1.057990374171624,plugin,100,4
σ2boot,NaN,plugin,100,4
ψ,0.9669372280906834,ipw,100,4
σ2,0.0017013732653325029,ipw,100,4
σ2net,0.0051760709769084695,ipw,100,4
σ2boot,NaN,ipw,100,4
stabilized,false,ipw,100,4
ψ,0.966937254924147,sipw,100,4
σ2,0.0017013951673929772,sipw,100,4
σ2net,0.00517555901082902,sipw,100,4
σ2boot,NaN,sipw,100,4
stabilized,true,sipw,100,4
ψ,1.0579894523228355,onestep,100,4
σ2,0.0017089484572113153,onestep,100,4
σ2net,0.0050397324299752255,onestep,100,4
σ2boot,NaN,onestep,100,4
ψ,1.0575262284538063,tmle,100,4
σ2,0.001708945443888132,tmle,100,4
σ2net,0.005041845873531273,tmle,100,4
σ2boot,NaN,tmle,100,4
ψ,0.9821351370737708,plugin_iid,100,4
σ2boot,NaN,plugin_iid,100,4
ψ,0.9669382895138916,ipw_iid,100,4
σ2,0.0017014162635093676,ipw_iid,100,4
σ2net,0.0017014162635093676,ipw_iid,100,4
σ2boot,NaN,ipw_iid,100,4
stabilized,false,ipw_iid,100,4
ψ,0.9669383545581854,sipw_iid,100,4
σ2,0.0017014187572226452,sipw_iid,100,4
σ2net,0.0017014187572226454,sipw_iid,100,4
σ2boot,NaN,sipw_iid,100,4
stabilized,true,sipw_iid,100,4
ψ,0.9821351656890428,onestep_iid,100,4
σ2,0.0017014183934498841,onestep_iid,100,4
σ2net,0.0017014183934498841,onestep_iid,100,4
σ2boot,NaN,onestep_iid,100,4
ψ,0.9821351612750279,tmle_iid,100,4
σ2,0.001701418804610564,tmle_iid,100,4
σ2net,0.0017014188046105647,tmle_iid,100,4
σ2boot,NaN,tmle_iid,100,4
ψ,0.34662170424472954,ols,100,4
σ2,0.019090772102136923,ols,100,4
σ2net,0.019090772102136923,ols,100,4
ψ,1.164412968360671,plugin,100,5
σ2boot,NaN,plugin,100,5
ψ,1.0818218650677838,ipw,100,5
σ2,0.0027013914844401053,ipw,100,5
σ2net,0.0035755838129572035,ipw,100,5
σ2boot,NaN,ipw,100,5
stabilized,false,ipw,100,5
ψ,1.0818218850682546,sipw,100,5
σ2,0.0027013941651961764,sipw,100,5
σ2net,0.0035755825299936795,sipw,100,5
σ2boot,NaN,sipw,100,5
stabilized,true,sipw,100,5
ψ,1.1644129638392606,onestep,100,5
σ2,0.0028234980323350433,onestep,100,5
σ2net,0.003958777418207235,onestep,100,5
σ2boot,NaN,onestep,100,5
ψ,1.162947624217139,tmle,100,5
σ2,0.002823520038984363,tmle,100,5
σ2net,0.0039981813212392045,tmle,100,5
σ2boot,NaN,tmle,100,5
ψ,1.0933032140052557,plugin_iid,100,5
σ2boot,NaN,plugin_iid,100,5
ψ,1.0818221713364335,ipw_iid,100,5
σ2,0.0027014084188519997,ipw_iid,100,5
σ2net,0.002701408418851999,ipw_iid,100,5
σ2boot,NaN,ipw_iid,100,5
stabilized,false,ipw_iid,100,5
ψ,1.0818221294443537,sipw_iid,100,5
σ2,0.0027014054403938265,sipw_iid,100,5
σ2net,0.0027014054403938265,sipw_iid,100,5
σ2boot,NaN,sipw_iid,100,5
stabilized,true,sipw_iid,100,5
ψ,1.0933032113902705,onestep_iid,100,5
σ2,0.0027014013682800844,onestep_iid,100,5
σ2net,0.0027014013682800852,onestep_iid,100,5
σ2boot,NaN,onestep_iid,100,5
ψ,1.09330319330425,tmle_iid,100,5
σ2,0.00270140128345474,tmle_iid,100,5
σ2net,0.0027014012834547406,tmle_iid,100,5
σ2boot,NaN,tmle_iid,100,5
ψ,0.27151470397379285,ols,100,5
σ2,0.015541737549250522,ols,100,5
σ2net,0.015541737549250522,ols,100,5
ψ,1.0103782671448924,plugin,100,6
σ2boot,NaN,plugin,100,6
ψ,0.9131487753347759,ipw,100,6
σ2,0.0015236791466803471,ipw,100,6
σ2net,0.005298351336535318,ipw,100,6
σ2boot,NaN,ipw,100,6
stabilized,false,ipw,100,6
ψ,0.913148766038576,sipw,100,6
σ2,0.0015236786676135023,sipw,100,6
σ2net,0.005298345008871145,sipw,100,6
σ2boot,NaN,sipw,100,6
stabilized,true,sipw,100,6
ψ,1.010378267442473,onestep,100,6
σ2,0.0014627223941519397,onestep,100,6
σ2net,0.004773032214792206,onestep,100,6
σ2boot,NaN,onestep,100,6
ψ,1.009961457387996,tmle,100,6
σ2,0.0014627242524301739,tmle,100,6
σ2net,0.0047676701465484235,tmle,100,6
σ2boot,NaN,tmle,100,6
ψ,0.9183492422732976,plugin_iid,100,6
σ2boot,NaN,plugin_iid,100,6
ψ,0.9131487775702323,ipw_iid,100,6
σ2,0.001523678614554411,ipw_iid,100,6
σ2net,0.0015236786145544111,ipw_iid,100,6
σ2boot,NaN,ipw_iid,100,6
stabilized,false,ipw_iid,100,6
ψ,0.9131487345156373,sipw_iid,100,6
σ2,0.00152367854383723,sipw_iid,100,6
σ2net,0.00152367854383723,sipw_iid,100,6
σ2boot,NaN,sipw_iid,100,6
stabilized,true,sipw_iid,100,6
ψ,0.9183492488698733,onestep_iid,100,6
σ2,0.0015236781311865045,onestep_iid,100,6
σ2net,0.0015236781311865047,onestep_iid,100,6
σ2boot,NaN,onestep_iid,100,6
ψ,0.9183492542824258,tmle_iid,100,6
σ2,0.0015236783025923929,tmle_iid,100,6
σ2net,0.0015236783025923922,tmle_iid,100,6
σ2boot,NaN,tmle_iid,100,6
ψ,0.13427427403787032,ols,100,6
σ2,0.017631401868595593,ols,100,6
σ2net,0.017631401868595593,ols,100,6
ψ,0.9385422842310966,plugin,100,7
σ2boot,NaN,plugin,100,7
ψ,0.8524172743107745,ipw,100,7
σ2,0.0013777998379043944,ipw,100,7
σ2net,0.0029678052236562433,ipw,100,7
σ2boot,NaN,ipw,100,7
stabilized,false,ipw,100,7
ψ,0.8524172546295405,sipw,100,7
σ2,0.0013778007842565779,sipw,100,7
σ2net,0.002967804992395176,sipw,100,7
σ2boot,NaN,sipw,100,7
stabilized,true,sipw,100,7
ψ,0.9385422771226005,onestep,100,7
σ2,0.0013806472191130376,onestep,100,7
σ2net,0.0031438312090289874,onestep,100,7
σ2boot,NaN,onestep,100,7
ψ,0.9375182559660693,tmle,100,7
σ2,0.0013806576817666457,tmle,100,7
σ2net,0.0031505489526007084,tmle,100,7
σ2boot,NaN,tmle,100,7
ψ,0.8688003131255391,plugin_iid,100,7
σ2boot,NaN,plugin_iid,100,7
ψ,0.8524173841195329,ipw_iid,100,7
σ2,0.0013778033777881872,ipw_iid,100,7
σ2net,0.0013778033777881874,ipw_iid,100,7
σ2boot,NaN,ipw_iid,100,7
stabilized,false,ipw_iid,100,7
ψ,0.8524173861006493,sipw_iid,100,7
σ2,0.0013778027629630838,sipw_iid,100,7
σ2net,0.0013778027629630836,sipw_iid,100,7
σ2boot,NaN,sipw_iid,100,7
stabilized,true,sipw_iid,100,7
ψ,0.8688002940856265,onestep_iid,100,7
σ2,0.0013778019167917663,onestep_iid,100,7
σ2net,0.0013778019167917665,onestep_iid,100,7
σ2boot,NaN,onestep_iid,100,7
ψ,0.868800284678465,tmle_iid,100,7
σ2,0.0013778020526614195,tmle_iid,100,7
σ2net,0.0013778020526614202,tmle_iid,100,7
σ2boot,NaN,tmle_iid,100,7
ψ,0.40517508312972744,ols,100,7
σ2,0.016800873373819764,ols,100,7
σ2net,0.016800873373819764,ols,100,7
ψ,0.9211166422249428,plugin,100,8
σ2boot,NaN,plugin,100,8
ψ,0.8257183298164799,ipw,100,8
σ2,0.001207978245009761,ipw,100,8
σ2net,0.0046927962995711075,ipw,100,8
σ2boot,NaN,ipw,100,8
stabilized,false,ipw,100,8
ψ,0.8257183555068837,sipw,100,8
σ2,0.0012079784213335852,sipw,100,8
σ2net,0.004692795297193572,sipw,100,8
σ2boot,NaN,sipw,100,8
stabilized,true,sipw,100,8
ψ,0.921116653487685,onestep,100,8
σ2,0.0012113465049577168,onestep,100,8
σ2net,0.004750274075144827,onestep,100,8
σ2boot,NaN,onestep,100,8
ψ,0.9211166556073033,tmle,100,8
σ2,0.0012113465004549356,tmle,100,8
σ2net,0.004750274002277518,tmle,100,8
σ2boot,NaN,tmle,100,8
ψ,0.8396346491945718,plugin_iid,100,8
σ2boot,NaN,plugin_iid,100,8
ψ,0.8257183694900269,ipw_iid,100,8
σ2,0.001207979251866292,ipw_iid,100,8
σ2net,0.0012079792518662924,ipw_iid,100,8
σ2boot,NaN,ipw_iid,100,8
stabilized,false,ipw_iid,100,8
ψ,0.8257183569761444,sipw_iid,100,8
σ2,0.001207978510487892,sipw_iid,100,8
σ2net,0.001207978510487892,sipw_iid,100,8
σ2boot,NaN,sipw_iid,100,8
stabilized,true,sipw_iid,100,8
ψ,0.8396346414837139,onestep_iid,100,8
σ2,0.0012079787950560472,onestep_iid,100,8
σ2net,0.0012079787950560466,onestep_iid,100,8
σ2boot,NaN,onestep_iid,100,8
ψ,0.8396346380058393,tmle_iid,100,8
σ2,0.001207978536125251,tmle_iid,100,8
σ2net,0.0012079785361252511,tmle_iid,100,8
σ2boot,NaN,tmle_iid,100,8
ψ,0.34612838238287896,ols,100,8
σ2,0.016880151083792934,ols,100,8
σ2net,0.016880151083792934,ols,100,8
ψ,0.8001097060265381,plugin,100,9
σ2boot,NaN,plugin,100,9
ψ,0.7145726906817081,ipw,100,9
σ2,0.0014942985233736598,ipw,100,9
σ2net,0.00616836498306113,ipw,100,9
σ2boot,NaN,ipw,100,9
stabilized,false,ipw,100,9
ψ,0.7145726390228911,sipw,100,9
σ2,0.0014942977322851838,sipw,100,9
σ2net,0.006168357030132493,sipw,100,9
σ2boot,NaN,sipw,100,9
stabilized,true,sipw,100,9
ψ,0.8001096948354818,onestep,100,9
σ2,0.0014639618088099582,onestep,100,9
σ2net,0.006100227925004212,onestep,100,9
σ2boot,NaN,onestep,100,9
ψ,0.7991166379368773,tmle,100,9
σ2,0.0014639717263317464,tmle,100,9
σ2net,0.006098440548636755,tmle,100,9
σ2boot,NaN,tmle,100,9
ψ,0.7241852827683607,plugin_iid,100,9
σ2boot,NaN,plugin_iid,100,9
ψ,0.7145726997757312,ipw_iid,100,9
σ2,0.0014943001064212924,ipw_iid,100,9
σ2net,0.0014943001064212924,ipw_iid,100,9
σ2boot,NaN,ipw_iid,100,9
stabilized,false,ipw_iid,100,9
ψ,0.7145726962228665,sipw_iid,100,9
σ2,0.0014942994373880805,sipw_iid,100,9
σ2net,0.0014942994373880805,sipw_iid,100,9
σ2boot,NaN,sipw_iid,100,9
stabilized,true,sipw_iid,100,9
ψ,0.7241852306782414,onestep_iid,100,9
σ2,0.0014942991808412466,onestep_iid,100,9
σ2net,0.0014942991808412469,onestep_iid,100,9
σ2boot,NaN,onestep_iid,100,9
ψ,0.7241852768231438,tmle_iid,100,9
σ2,0.0014942986656601334,tmle_iid,100,9
σ2net,0.0014942986656601334,tmle_iid,100,9
σ2boot,NaN,tmle_iid,100,9
ψ,0.22975473481358083,ols,100,9
σ2,0.022495677248344927,ols,100,9
σ2net,0.022495677248344927,ols,100,9
ψ,1.023373470778789,plugin,100,10
σ2boot,NaN,plugin,100,10
ψ,0.9403697614174931,ipw,100,10
σ2,0.0009094804139302914,ipw,100,10
σ2net,0.0019238768207975496,ipw,100,10
σ2boot,NaN,ipw,100,10
stabilized,false,ipw,100,10
ψ,0.9403697516152024,sipw,100,10
σ2,0.0009094803469174844,sipw,100,10
σ2net,0.0019238759691252803,sipw,100,10
σ2boot,NaN,sipw,100,10
stabilized,true,sipw,100,10
ψ,1.0233734650144652,onestep,100,10
σ2,0.0009209950679428194,onestep,100,10
σ2net,0.002131572313402206,onestep,100,10
σ2boot,NaN,onestep,100,10
ψ,1.0233734670719106,tmle,100,10
σ2,0.0009209950695005642,tmle,100,10
σ2net,0.00213157237996001,tmle,100,10
σ2boot,NaN,tmle,100,10
ψ,0.9560585534130067,plugin_iid,100,10
σ2boot,NaN,plugin_iid,100,10
ψ,0.9403698516903496,ipw_iid,100,10
σ2,0.0009094831962801559,ipw_iid,100,10
σ2net,0.0009094831962801561,ipw_iid,100,10
σ2boot,NaN,ipw_iid,100,10
stabilized,false,ipw_iid,100,10
ψ,0.9403697136513984,sipw_iid,100,10
σ2,0.0009094801450976651,sipw_iid,100,10
σ2net,0.0009094801450976651,sipw_iid,100,10
σ2boot,NaN,sipw_iid,100,10
stabilized,true,sipw_iid,100,10
ψ,0.956058547500171,onestep_iid,100,10
σ2,0.0009094808605286231,onestep_iid,100,10
σ2net,0.0009094808605286232,onestep_iid,100,10
σ2boot,NaN,onestep_iid,100,10
ψ,0.956058537213432,tmle_iid,100,10
σ2,0.0009094809827435053,tmle_iid,100,10
σ2net,0.0009094809827435052,tmle_iid,100,10
σ2boot,NaN,tmle_iid,100,10
ψ,0.38519791026729255,ols,100,10
σ2,0.011852124756102948,ols,100,10
σ2net,0.011852124756102948,ols,100,10
ψ,0.8841734496705885,plugin,100,11
σ2boot,NaN,plugin,100,11
ψ,0.7836158871956351,ipw,100,11
σ2,0.0012723119759613082,ipw,100,11
σ2net,0.0029621649020745264,ipw,100,11
σ2boot,NaN,ipw,100,11
stabilized,false,ipw,100,11
ψ,0.7836158989820373,sipw,100,11
σ2,0.00127231098551716,sipw,100,11
σ2net,0.002962158406189192,sipw,100,11
σ2boot,NaN,sipw,100,11
stabilized,true,sipw,100,11
ψ,0.8841734512346707,onestep,100,11
σ2,0.001271910532567315,onestep,100,11
σ2net,0.003168376090370616,onestep,100,11
σ2boot,NaN,onestep,100,11
ψ,0.8832940625114083,tmle,100,11
σ2,0.0012719183166714902,tmle,100,11
σ2net,0.003175766682480692,tmle,100,11
σ2boot,NaN,tmle,100,11
ψ,0.7999108804049656,plugin_iid,100,11
σ2boot,NaN,plugin_iid,100,11
ψ,0.7836159232950043,ipw_iid,100,11
σ2,0.0012723127825718108,ipw_iid,100,11
σ2net,0.0012723127825718106,ipw_iid,100,11
σ2boot,NaN,ipw_iid,100,11
stabilized,false,ipw_iid,100,11
ψ,0.7836158698644822,sipw_iid,100,11
σ2,0.0012723098629098843,sipw_iid,100,11
σ2net,0.0012723098629098836,sipw_iid,100,11
σ2boot,NaN,sipw_iid,100,11
stabilized,true,sipw_iid,100,11
ψ,0.7999109108512645,onestep_iid,100,11
σ2,0.0012723103867270042,onestep_iid,100,11
σ2net,0.0012723103867270042,onestep_iid,100,11
σ2boot,NaN,onestep_iid,100,11
ψ,0.7999108795769786,tmle_iid,100,11
σ2,0.0012723101139473535,tmle_iid,100,11
σ2net,0.0012723101139473537,tmle_iid,100,11
σ2boot,NaN,tmle_iid,100,11
ψ,0.35029877903624423,ols,100,11
σ2,0.015494828085476952,ols,100,11
σ2net,0.015494828085476952,ols,100,11
ψ,0.9781435542838139,plugin,100,12
σ2boot,NaN,plugin,100,12
ψ,0.8930014816917707,ipw,100,12
σ2,0.001336825139706062,ipw,100,12
σ2net,0.003342855663230245,ipw,100,12
σ2boot,NaN,ipw,100,12
stabilized,false,ipw,100,12
ψ,0.8930014698465686,sipw,100,12
σ2,0.001336826016364658,sipw,100,12
σ2net,0.0033428553780786956,sipw,100,12
σ2boot,NaN,sipw,100,12
stabilized,true,sipw,100,12
ψ,0.9781435660335318,onestep,100,12
σ2,0.001340060175296589,onestep,100,12
σ2net,0.0031455066717511857,onestep,100,12
σ2boot,NaN,onestep,100,12
ψ,0.9781435735012985,tmle,100,12
σ2,0.0013400600710264476,tmle,100,12
σ2net,0.0031455067151692512,tmle,100,12
σ2boot,NaN,tmle,100,12
ψ,0.9081820193328128,plugin_iid,100,12
σ2boot,NaN,plugin_iid,100,12
ψ,0.8930015424298867,ipw_iid,100,12
σ2,0.0013368272454610387,ipw_iid,100,12
σ2net,0.0013368272454610385,ipw_iid,100,12
σ2boot,NaN,ipw_iid,100,12
stabilized,false,ipw_iid,100,12
ψ,0.8930014889920929,sipw_iid,100,12
σ2,0.001336826489679237,sipw_iid,100,12
σ2net,0.0013368264896792372,sipw_iid,100,12
σ2boot,NaN,sipw_iid,100,12
stabilized,true,sipw_iid,100,12
ψ,0.9081820271810394,onestep_iid,100,12
σ2,0.0013368269274217125,onestep_iid,100,12
σ2net,0.0013368269274217123,onestep_iid,100,12
σ2boot,NaN,onestep_iid,100,12
ψ,0.908182036486363,tmle_iid,100,12
σ2,0.0013368271895612008,tmle_iid,100,12
σ2net,0.001336827189561201,tmle_iid,100,12
σ2boot,NaN,tmle_iid,100,12
ψ,0.3398683037844937,ols,100,12
σ2,0.01320382636359528,ols,100,12
σ2net,0.01320382636359528,ols,100,12
ψ,0.9271814248941267,plugin,100,13
σ2boot,NaN,plugin,100,13
ψ,0.8250559218994078,ipw,100,13
σ2,0.002518099265959161,ipw,100,13
σ2net,0.009529677266982173,ipw,100,13
σ2boot,NaN,ipw,100,13
stabilized,false,ipw,100,13
ψ,0.8250560816340549,sipw,100,13
σ2,0.002518100645071289,sipw,100,13
σ2net,0.009529669551304751,sipw,100,13
σ2boot,NaN,sipw,100,13
stabilized,true,sipw,100,13
ψ,0.9271814156601142,onestep,100,13
σ2,0.0024647512088114606,onestep,100,13
σ2net,0.00925107313664312,onestep,100,13
σ2boot,NaN,onestep,100,13
ψ,0.9252228385618675,tmle,100,13
σ2,0.0024647888034623235,tmle,100,13
σ2net,0.009225673308146614,tmle,100,13
σ2boot,NaN,tmle,100,13
ψ,0.8466953234655249,plugin_iid,100,13
σ2boot,NaN,plugin_iid,100,13
ψ,0.8250560756482672,ipw_iid,100,13
σ2,0.002518105283417021,ipw_iid,100,13
σ2net,0.002518105283417021,ipw_iid,100,13
σ2boot,NaN,ipw_iid,100,13
stabilized,false,ipw_iid,100,13
ψ,0.8250559372508949,sipw_iid,100,13
σ2,0.002518100284553543,sipw_iid,100,13
σ2net,0.002518100284553544,sipw_iid,100,13
σ2boot,NaN,sipw_iid,100,13
stabilized,true,sipw_iid,100,13
ψ,0.8466953074645254,onestep_iid,100,13
σ2,0.0025181012443017212,onestep_iid,100,13
σ2net,0.0025181012443017217,onestep_iid,100,13
σ2boot,NaN,onestep_iid,100,13
ψ,0.8466953526374938,tmle_iid,100,13
σ2,0.0025181006772860425,tmle_iid,100,13
σ2net,0.0025181006772860433,tmle_iid,100,13
σ2boot,NaN,tmle_iid,100,13
ψ,0.518710489386301,ols,100,13
σ2,0.017317059956398186,ols,100,13
σ2net,0.017317059956398186,ols,100,13
ψ,1.047831878576727,plugin,100,14
σ2boot,NaN,plugin,100,14
ψ,0.9634868592856989,ipw,100,14
σ2,0.0015924097463838542,ipw,100,14
σ2net,0.005184398142415873,ipw,100,14
σ2boot,NaN,ipw,100,14
stabilized,false,ipw,100,14
ψ,0.9634869198784096,sipw,100,14
σ2,0.0015924094014449072,sipw,100,14
σ2net,0.005184398184093196,sipw,100,14
σ2boot,NaN,sipw,100,14
stabilized,true,sipw,100,14
ψ,1.0478318797033692,onestep,100,14
σ2,0.0016479415154048488,onestep,100,14
σ2net,0.005439348894986981,onestep,100,14
σ2boot,NaN,onestep,100,14
ψ,1.0475717043405652,tmle,100,14
σ2,0.0016479421746423018,tmle,100,14
σ2net,0.005442795008619781,tmle,100,14
σ2boot,NaN,tmle,100,14
ψ,0.9850889818326999,plugin_iid,100,14
σ2boot,NaN,plugin_iid,100,14
ψ,0.9634868587728692,ipw_iid,100,14
σ2,0.0015924100205010855,ipw_iid,100,14
σ2net,0.0015924100205010855,ipw_iid,100,14
σ2boot,NaN,ipw_iid,100,14
stabilized,false,ipw_iid,100,14
ψ,0.9634868213941283,sipw_iid,100,14
σ2,0.0015924096565772439,sipw_iid,100,14
σ2net,0.0015924096565772437,sipw_iid,100,14
σ2boot,NaN,sipw_iid,100,14
stabilized,true,sipw_iid,100,14
ψ,0.9850889747149354,onestep_iid,100,14
σ2,0.0015924092523768338,onestep_iid,100,14
σ2net,0.001592409252376834,onestep_iid,100,14
σ2boot,NaN,onestep_iid,100,14
ψ,0.9850889768000606,tmle_iid,100,14
σ2,0.0015924093269502582,tmle_iid,100,14
σ2net,0.0015924093269502578,tmle_iid,100,14
σ2boot,NaN,tmle_iid,100,14
ψ,0.5172219838479334,ols,100,14
σ2,0.015480880749734471,ols,100,14
σ2net,0.015480880749734471,ols,100,14
ψ,0.9922336473665573,plugin,100,15
σ2boot,NaN,plugin,100,15
ψ,0.9014654220181817,ipw,100,15
σ2,0.0012323883421955185,ipw,100,15
σ2net,0.0028413770175794747,ipw,100,15
σ2boot,NaN,ipw,100,15
stabilized,false,ipw,100,15
ψ,0.9014653234150208,sipw,100,15
σ2,0.001232387841089115,sipw,100,15
σ2net,0.002841376563248989,sipw,100,15
σ2boot,NaN,sipw,100,15
stabilized,true,sipw,100,15
ψ,0.9922336293867643,onestep,100,15
σ2,0.0012179221729953322,onestep,100,15
σ2net,0.0028203150541569514,onestep,100,15
σ2boot,NaN,onestep,100,15
ψ,0.9921964672571493,tmle,100,15
σ2,0.0012179224192405242,tmle,100,15
σ2net,0.0028203010486275723,tmle,100,15
σ2boot,NaN,tmle,100,15
ψ,0.9159930631006609,plugin_iid,100,15
σ2boot,NaN,plugin_iid,100,15
ψ,0.901465430496435,ipw_iid,100,15
σ2,0.00123238850146923,ipw_iid,100,15
σ2net,0.0012323885014692295,ipw_iid,100,15
σ2boot,NaN,ipw_iid,100,15
stabilized,false,ipw_iid,100,15
ψ,0.9014654763036191,sipw_iid,100,15
σ2,0.001232389326102049,sipw_iid,100,15
σ2net,0.0012323893261020494,sipw_iid,100,15
σ2boot,NaN,sipw_iid,100,15
stabilized,true,sipw_iid,100,15
ψ,0.9159930477435022,onestep_iid,100,15
σ2,0.0012323894241300622,onestep_iid,100,15
σ2net,0.0012323894241300618,onestep_iid,100,15
σ2boot,NaN,onestep_iid,100,15
ψ,0.9159930314214094,tmle_iid,100,15
σ2,0.0012323891963961103,tmle_iid,100,15
σ2net,0.0012323891963961103,tmle_iid,100,15
σ2boot,NaN,tmle_iid,100,15
ψ,0.3627084989652048,ols,100,15
σ2,0.015175633586300521,ols,100,15
σ2net,0.015175633586300521,ols,100,15
ψ,1.1100753364873872,plugin,100,16
σ2boot,NaN,plugin,100,16
ψ,1.01663955888688,ipw,100,16
σ2,0.0018507091339561815,ipw,100,16
σ2net,0.004346078177381207,ipw,100,16
